"COU","Country","IND","Indicator","YEAR","Year","Value","Flag Codes","Flags"
"IND","India","GTR_GDP","General government revenues as a percentage of GDP","2008","2008",19.71,,
"IND","India","GTR_GDP","General government revenues as a percentage of GDP","2009","2009",18.52,,
"IND","India","GTR_GDP","General government revenues as a percentage of GDP","2010","2010",18.82,,
"IND","India","GTR_GDP","General government revenues as a percentage of GDP","2011","2011",19.29,,
"IND","India","GTR_GDP","General government revenues as a percentage of GDP","2012","2012",19.81,,
"IND","India","GTR_GDP","General government revenues as a percentage of GDP","2013","2013",19.6,,
"IND","India","GTR_GDP","General government revenues as a percentage of GDP","2014","2014",19.15,,
"IND","India","GTR_GDP","General government revenues as a percentage of GDP","2015","2015",19.85,,
"IND","India","GTR_GDP","General government revenues as a percentage of GDP","2016","2016",20.15,,
"IND","India","GTR_GDP","General government revenues as a percentage of GDP","2017","2017",19.82,,
"IND","India","GTR_GDP","General government revenues as a percentage of GDP","2018","2018",20.6,,
"IND","India","GTE_GDP","General government expenditures as a percentage of GDP","2007","2007",26.47,,
"IND","India","GTE_GDP","General government expenditures as a percentage of GDP","2008","2008",28.69,,
"IND","India","GTE_GDP","General government expenditures as a percentage of GDP","2009","2009",28.05,,
"IND","India","GTE_GDP","General government expenditures as a percentage of GDP","2010","2010",27.45,,
"IND","India","GTE_GDP","General government expenditures as a percentage of GDP","2011","2011",27.64,,
"IND","India","GTE_GDP","General government expenditures as a percentage of GDP","2012","2012",27.36,,
"IND","India","GTE_GDP","General government expenditures as a percentage of GDP","2013","2013",26.6,,
"IND","India","GTE_GDP","General government expenditures as a percentage of GDP","2014","2014",26.22,,
"IND","India","GTE_GDP","General government expenditures as a percentage of GDP","2015","2015",27.06,,
"IND","India","GTE_GDP","General government expenditures as a percentage of GDP","2016","2016",27.28,,
"IND","India","GTE_GDP","General government expenditures as a percentage of GDP","2017","2017",26.83,,
"IND","India","GTE_GDP","General government expenditures as a percentage of GDP","2018","2018",27.29,,
"IDN","Indonesia","GGD_GDP","General government gross debt as a percentage of GDP","2007","2007",32.33,,
"IDN","Indonesia","GGD_GDP","General government gross debt as a percentage of GDP","2008","2008",30.25,,
"IDN","Indonesia","GGD_GDP","General government gross debt as a percentage of GDP","2009","2009",26.48,,
"IDN","Indonesia","GGD_GDP","General government gross debt as a percentage of GDP","2010","2010",24.53,,
"IDN","Indonesia","GGD_GDP","General government gross debt as a percentage of GDP","2011","2011",23.11,,
"IDN","Indonesia","GGD_GDP","General government gross debt as a percentage of GDP","2012","2012",22.96,,
"IDN","Indonesia","GGD_GDP","General government gross debt as a percentage of GDP","2013","2013",24.85,,
"IDN","Indonesia","GGD_GDP","General government gross debt as a percentage of GDP","2014","2014",24.68,,
"IDN","Indonesia","GGD_GDP","General government gross debt as a percentage of GDP","2015","2015",27.46,,
"IDN","Indonesia","GGD_GDP","General government gross debt as a percentage of GDP","2016","2016",28.35,,
"IDN","Indonesia","GGD_GDP","General government gross debt as a percentage of GDP","2017","2017",28.94,,
"IDN","Indonesia","GGD_GDP","General government gross debt as a percentage of GDP","2018","2018",29.2,,
"ISR","Israel","GGD_GDP","General government gross debt as a percentage of GDP","2007","2007",80.07,,
"ISR","Israel","GGD_GDP","General government gross debt as a percentage of GDP","2008","2008",80.57,,
"ISR","Israel","GGD_GDP","General government gross debt as a percentage of GDP","2009","2009",83.85,,
"ISR","Israel","GGD_GDP","General government gross debt as a percentage of GDP","2010","2010",80.02,,
"ISR","Israel","GGD_GDP","General government gross debt as a percentage of GDP","2011","2011",78.19,,
"ISR","Israel","GGD_GDP","General government gross debt as a percentage of GDP","2012","2012",78.95,,
"ISR","Israel","GGD_GDP","General government gross debt as a percentage of GDP","2013","2013",76.48,,
"ISR","Israel","GGD_GDP","General government gross debt as a percentage of GDP","2014","2014",77.48,,
"ISR","Israel","GGD_GDP","General government gross debt as a percentage of GDP","2015","2015",76.75,,
"ISR","Israel","GGD_GDP","General government gross debt as a percentage of GDP","2016","2016",74.16,,
"ISR","Israel","GGD_GDP","General government gross debt as a percentage of GDP","2017","2017",71.02,,
"LVA","Latvia","GGD_GDP","General government gross debt as a percentage of GDP","2007","2007",12.51,,
"LVA","Latvia","GGD_GDP","General government gross debt as a percentage of GDP","2008","2008",22.65,,
"LVA","Latvia","GGD_GDP","General government gross debt as a percentage of GDP","2009","2009",41.54,,
"LVA","Latvia","GGD_GDP","General government gross debt as a percentage of GDP","2010","2010",53.2,,
"LVA","Latvia","GGD_GDP","General government gross debt as a percentage of GDP","2011","2011",49.02,,
"LVA","Latvia","GGD_GDP","General government gross debt as a percentage of GDP","2012","2012",48.02,,
"LVA","Latvia","GGD_GDP","General government gross debt as a percentage of GDP","2013","2013",44.79,,
"LVA","Latvia","GGD_GDP","General government gross debt as a percentage of GDP","2014","2014",49.81,,
"LVA","Latvia","GGD_GDP","General government gross debt as a percentage of GDP","2015","2015",45.35,,
"LVA","Latvia","GGD_GDP","General government gross debt as a percentage of GDP","2016","2016",49.12,,
"LVA","Latvia","GGD_GDP","General government gross debt as a percentage of GDP","2017","2017",47.42,,
"LVA","Latvia","GGD_GDP","General government gross debt as a percentage of GDP","2018","2018",44.15,,
"LTU","Lithuania","GGD_GDP","General government gross debt as a percentage of GDP","2007","2007",19.38,,
"LTU","Lithuania","GGD_GDP","General government gross debt as a percentage of GDP","2008","2008",17.12,,
"LTU","Lithuania","GGD_GDP","General government gross debt as a percentage of GDP","2009","2009",34.13,,
"LTU","Lithuania","GGD_GDP","General government gross debt as a percentage of GDP","2010","2010",45.47,,
"LTU","Lithuania","GGD_GDP","General government gross debt as a percentage of GDP","2011","2011",45.73,,
"LTU","Lithuania","GGD_GDP","General government gross debt as a percentage of GDP","2012","2012",51.26,,
"LTU","Lithuania","GGD_GDP","General government gross debt as a percentage of GDP","2013","2013",48,,
"LTU","Lithuania","GGD_GDP","General government gross debt as a percentage of GDP","2014","2014",52.58,,
"LTU","Lithuania","GGD_GDP","General government gross debt as a percentage of GDP","2015","2015",53.33,,
"LTU","Lithuania","GGD_GDP","General government gross debt as a percentage of GDP","2016","2016",51.12,,
"LTU","Lithuania","GGD_GDP","General government gross debt as a percentage of GDP","2017","2017",47.29,,
"LTU","Lithuania","GGD_GDP","General government gross debt as a percentage of GDP","2018","2018",41.21,,
"RUS","Russia","GGD_GDP","General government gross debt as a percentage of GDP","2011","2011",11.05,,
"RUS","Russia","GGD_GDP","General government gross debt as a percentage of GDP","2012","2012",10.9,,
"RUS","Russia","GGD_GDP","General government gross debt as a percentage of GDP","2013","2013",12,,
"RUS","Russia","GGD_GDP","General government gross debt as a percentage of GDP","2014","2014",14.46,,
"RUS","Russia","GGD_GDP","General government gross debt as a percentage of GDP","2015","2015",17.92,,
"RUS","Russia","GGD_GDP","General government gross debt as a percentage of GDP","2016","2016",18.47,,
"SVN","Slovenia","GGD_GDP","General government gross debt as a percentage of GDP","2007","2007",30.06,,
"SVN","Slovenia","GGD_GDP","General government gross debt as a percentage of GDP","2008","2008",29.69,,
"SVN","Slovenia","GGD_GDP","General government gross debt as a percentage of GDP","2009","2009",43.74,,
"SVN","Slovenia","GGD_GDP","General government gross debt as a percentage of GDP","2010","2010",47.84,,
"SVN","Slovenia","GGD_GDP","General government gross debt as a percentage of GDP","2011","2011",51.42,,
"SVN","Slovenia","GGD_GDP","General government gross debt as a percentage of GDP","2012","2012",61.7,,
"SVN","Slovenia","GGD_GDP","General government gross debt as a percentage of GDP","2013","2013",78.85,,
"SVN","Slovenia","GGD_GDP","General government gross debt as a percentage of GDP","2014","2014",99.3,,
"SVN","Slovenia","GGD_GDP","General government gross debt as a percentage of GDP","2015","2015",102.29,,
"SVN","Slovenia","GGD_GDP","General government gross debt as a percentage of GDP","2016","2016",97.33,,
"SVN","Slovenia","GGD_GDP","General government gross debt as a percentage of GDP","2017","2017",88.81,,
"SVN","Slovenia","GGD_GDP","General government gross debt as a percentage of GDP","2018","2018",82.72,,
"ZAF","South Africa","GGD_GDP","General government gross debt as a percentage of GDP","2007","2007",27.06,,
"ZAF","South Africa","GGD_GDP","General government gross debt as a percentage of GDP","2008","2008",26.51,,
"ZAF","South Africa","GGD_GDP","General government gross debt as a percentage of GDP","2009","2009",30.08,,
"ZAF","South Africa","GGD_GDP","General government gross debt as a percentage of GDP","2010","2010",34.68,,
"ZAF","South Africa","GGD_GDP","General government gross debt as a percentage of GDP","2011","2011",38.23,,
"ZAF","South Africa","GGD_GDP","General government gross debt as a percentage of GDP","2012","2012",41,,
"ZAF","South Africa","GGD_GDP","General government gross debt as a percentage of GDP","2013","2013",44.1,,
"ZAF","South Africa","GGD_GDP","General government gross debt as a percentage of GDP","2014","2014",46.99,,
"ZAF","South Africa","GGD_GDP","General government gross debt as a percentage of GDP","2015","2015",49.34,,
"ZAF","South Africa","GGD_GDP","General government gross debt as a percentage of GDP","2016","2016",51.47,,
"ZAF","South Africa","GGD_GDP","General government gross debt as a percentage of GDP","2017","2017",53.02,,
"OAVG","OECD - Average","GGD_GDP","General government gross debt as a percentage of GDP","2007","2007",52.87,,
"OAVG","OECD - Average","GGD_GDP","General government gross debt as a percentage of GDP","2008","2008",58.19,,
"OAVG","OECD - Average","GGD_GDP","General government gross debt as a percentage of GDP","2009","2009",67.45,,
"OAVG","OECD - Average","GGD_GDP","General government gross debt as a percentage of GDP","2010","2010",71.38,,
"OAVG","OECD - Average","GGD_GDP","General government gross debt as a percentage of GDP","2011","2011",74.29,,
"OAVG","OECD - Average","GGD_GDP","General government gross debt as a percentage of GDP","2012","2012",81.97,,
"OAVG","OECD - Average","GGD_GDP","General government gross debt as a percentage of GDP","2013","2013",83.08,,
"OAVG","OECD - Average","GGD_GDP","General government gross debt as a percentage of GDP","2014","2014",86.8,,
"OAVG","OECD - Average","GGD_GDP","General government gross debt as a percentage of GDP","2015","2015",85.27,,
"OAVG","OECD - Average","GGD_GDP","General government gross debt as a percentage of GDP","2016","2016",84.88,,
"OAVG","OECD - Average","GGD_GDP","General government gross debt as a percentage of GDP","2017","2017",82.46,,
"OECD","OECD - Total","GGD_GDP","General government gross debt as a percentage of GDP","2007","2007",73.05,,
"OECD","OECD - Total","GGD_GDP","General government gross debt as a percentage of GDP","2008","2008",79.22,,
"OECD","OECD - Total","GGD_GDP","General government gross debt as a percentage of GDP","2009","2009",90.91,,
"OECD","OECD - Total","GGD_GDP","General government gross debt as a percentage of GDP","2010","2010",96.81,,
"OECD","OECD - Total","GGD_GDP","General government gross debt as a percentage of GDP","2011","2011",101.38,,
"OECD","OECD - Total","GGD_GDP","General government gross debt as a percentage of GDP","2012","2012",107.53,,
"OECD","OECD - Total","GGD_GDP","General government gross debt as a percentage of GDP","2013","2013",108.57,,
"OECD","OECD - Total","GGD_GDP","General government gross debt as a percentage of GDP","2014","2014",111.77,,
"OECD","OECD - Total","GGD_GDP","General government gross debt as a percentage of GDP","2015","2015",111.53,,
"OECD","OECD - Total","GGD_GDP","General government gross debt as a percentage of GDP","2016","2016",112.48,,
"OECD","OECD - Total","GGD_GDP","General government gross debt as a percentage of GDP","2017","2017",110.31,,
"DEU","Germany","GTR_GDP","General government revenues as a percentage of GDP","2007","2007",43,,
"DEU","Germany","GTR_GDP","General government revenues as a percentage of GDP","2008","2008",43.4,,
"DEU","Germany","GTR_GDP","General government revenues as a percentage of GDP","2009","2009",44.34,,
"DEU","Germany","GTR_GDP","General government revenues as a percentage of GDP","2010","2010",43.03,,
"DEU","Germany","GTR_GDP","General government revenues as a percentage of GDP","2011","2011",43.75,,
"DEU","Germany","GTR_GDP","General government revenues as a percentage of GDP","2012","2012",44.26,,
"DEU","Germany","GTR_GDP","General government revenues as a percentage of GDP","2013","2013",44.55,,
"DEU","Germany","GTR_GDP","General government revenues as a percentage of GDP","2014","2014",44.53,,
"DEU","Germany","GTR_GDP","General government revenues as a percentage of GDP","2015","2015",44.49,,
"DEU","Germany","GTR_GDP","General government revenues as a percentage of GDP","2016","2016",44.8,,
"DEU","Germany","GTR_GDP","General government revenues as a percentage of GDP","2017","2017",44.97,,
"DEU","Germany","GTR_GDP","General government revenues as a percentage of GDP","2018","2018",45.59,,
"POL","Poland","GNLB_GDP","General government fiscal balance as a percentage of GDP","2007","2007",-1.85,,
"POL","Poland","GNLB_GDP","General government fiscal balance as a percentage of GDP","2008","2008",-3.6,,
"POL","Poland","GNLB_GDP","General government fiscal balance as a percentage of GDP","2009","2009",-7.25,,
"POL","Poland","GNLB_GDP","General government fiscal balance as a percentage of GDP","2010","2010",-7.34,,
"POL","Poland","GNLB_GDP","General government fiscal balance as a percentage of GDP","2011","2011",-4.83,,
"POL","Poland","GNLB_GDP","General government fiscal balance as a percentage of GDP","2012","2012",-3.71,,
"POL","Poland","GNLB_GDP","General government fiscal balance as a percentage of GDP","2013","2013",-4.11,,
"POL","Poland","GNLB_GDP","General government fiscal balance as a percentage of GDP","2014","2014",-3.68,,
"POL","Poland","GNLB_GDP","General government fiscal balance as a percentage of GDP","2015","2015",-2.71,,
"POL","Poland","GNLB_GDP","General government fiscal balance as a percentage of GDP","2016","2016",-2.24,,
"POL","Poland","GNLB_GDP","General government fiscal balance as a percentage of GDP","2017","2017",-1.53,,
"POL","Poland","GNLB_GDP","General government fiscal balance as a percentage of GDP","2018","2018",-0.38,,
"IRL","Ireland","GNLB_GDP","General government fiscal balance as a percentage of GDP","2007","2007",0.26,,
"IRL","Ireland","GNLB_GDP","General government fiscal balance as a percentage of GDP","2008","2008",-7.02,,
"IRL","Ireland","GNLB_GDP","General government fiscal balance as a percentage of GDP","2009","2009",-13.82,,
"IRL","Ireland","GNLB_GDP","General government fiscal balance as a percentage of GDP","2010","2010",-32.06,,
"IRL","Ireland","GNLB_GDP","General government fiscal balance as a percentage of GDP","2011","2011",-12.82,,
"IRL","Ireland","GNLB_GDP","General government fiscal balance as a percentage of GDP","2012","2012",-8.09,,
"IRL","Ireland","GNLB_GDP","General government fiscal balance as a percentage of GDP","2013","2013",-6.17,,
"IRL","Ireland","GNLB_GDP","General government fiscal balance as a percentage of GDP","2014","2014",-3.64,,
"IRL","Ireland","GNLB_GDP","General government fiscal balance as a percentage of GDP","2015","2015",-1.94,,
"IRL","Ireland","GNLB_GDP","General government fiscal balance as a percentage of GDP","2016","2016",-0.66,,
"IRL","Ireland","GNLB_GDP","General government fiscal balance as a percentage of GDP","2017","2017",-0.28,,
"IRL","Ireland","GNLB_GDP","General government fiscal balance as a percentage of GDP","2018","2018",0.01,,
"BRA","Brazil","GTE_GDP","General government expenditures as a percentage of GDP","2007","2007",61.92,,
"BRA","Brazil","GTE_GDP","General government expenditures as a percentage of GDP","2008","2008",60.57,,
"BRA","Brazil","GTE_GDP","General government expenditures as a percentage of GDP","2009","2009",61.29,,
"BRA","Brazil","GTE_GDP","General government expenditures as a percentage of GDP","2010","2010",58.82,,
"BRA","Brazil","GTE_GDP","General government expenditures as a percentage of GDP","2011","2011",61.03,,
"BRA","Brazil","GTE_GDP","General government expenditures as a percentage of GDP","2012","2012",60.23,,
"BRA","Brazil","GTE_GDP","General government expenditures as a percentage of GDP","2013","2013",60.54,,
"BRA","Brazil","GTE_GDP","General government expenditures as a percentage of GDP","2014","2014",62.33,,
"BRA","Brazil","GTE_GDP","General government expenditures as a percentage of GDP","2015","2015",65.4,,
"BRA","Brazil","GTE_GDP","General government expenditures as a percentage of GDP","2016","2016",66.59,,
"NOR","Norway","GTR_GDP","General government revenues as a percentage of GDP","2007","2007",58.54,,
"NOR","Norway","GTR_GDP","General government revenues as a percentage of GDP","2008","2008",58.86,,
"NOR","Norway","GTR_GDP","General government revenues as a percentage of GDP","2009","2009",56.39,,
"NOR","Norway","GTR_GDP","General government revenues as a percentage of GDP","2010","2010",55.94,,
"NOR","Norway","GTR_GDP","General government revenues as a percentage of GDP","2011","2011",57.19,,
"NOR","Norway","GTR_GDP","General government revenues as a percentage of GDP","2012","2012",56.72,,
"NOR","Norway","GTR_GDP","General government revenues as a percentage of GDP","2013","2013",54.74,,
"NOR","Norway","GTR_GDP","General government revenues as a percentage of GDP","2014","2014",54.54,,
"NOR","Norway","GTR_GDP","General government revenues as a percentage of GDP","2015","2015",54.86,,
"NOR","Norway","GTR_GDP","General government revenues as a percentage of GDP","2016","2016",54.78,,
"NOR","Norway","GTR_GDP","General government revenues as a percentage of GDP","2017","2017",54.89,,
"NOR","Norway","GTR_GDP","General government revenues as a percentage of GDP","2018","2018",55.9,,
"FRA","France","GTE_GDP","General government expenditures as a percentage of GDP","2007","2007",52.57,,
"FRA","France","GTE_GDP","General government expenditures as a percentage of GDP","2008","2008",53.3,,
"FRA","France","GTE_GDP","General government expenditures as a percentage of GDP","2009","2009",57.15,,
"FRA","France","GTE_GDP","General government expenditures as a percentage of GDP","2010","2010",56.88,,
"FRA","France","GTE_GDP","General government expenditures as a percentage of GDP","2011","2011",56.29,,
"FRA","France","GTE_GDP","General government expenditures as a percentage of GDP","2012","2012",57.11,,
"FRA","France","GTE_GDP","General government expenditures as a percentage of GDP","2013","2013",57.23,,
"FRA","France","GTE_GDP","General government expenditures as a percentage of GDP","2014","2014",57.21,,
"FRA","France","GTE_GDP","General government expenditures as a percentage of GDP","2015","2015",56.8,,
"FRA","France","GTE_GDP","General government expenditures as a percentage of GDP","2016","2016",56.73,,
"FRA","France","GTE_GDP","General government expenditures as a percentage of GDP","2017","2017",56.46,"P","Provisional value"
"FRA","France","GTE_GDP","General government expenditures as a percentage of GDP","2018","2018",56.13,"P","Provisional value"
"GRC","Greece","GTE_GDP","General government expenditures as a percentage of GDP","2007","2007",47.07,,
"GRC","Greece","GTE_GDP","General government expenditures as a percentage of GDP","2008","2008",50.85,,
"GRC","Greece","GTE_GDP","General government expenditures as a percentage of GDP","2009","2009",54.08,,
"GRC","Greece","GTE_GDP","General government expenditures as a percentage of GDP","2010","2010",52.48,,
"GRC","Greece","GTE_GDP","General government expenditures as a percentage of GDP","2011","2011",54.09,,
"GRC","Greece","GTE_GDP","General government expenditures as a percentage of GDP","2012","2012",55.73,,
"GRC","Greece","GTE_GDP","General government expenditures as a percentage of GDP","2013","2013",62.3,,
"GRC","Greece","GTE_GDP","General government expenditures as a percentage of GDP","2014","2014",50.19,,
"GRC","Greece","GTE_GDP","General government expenditures as a percentage of GDP","2015","2015",53.47,,
"GRC","Greece","GTE_GDP","General government expenditures as a percentage of GDP","2016","2016",48.91,,
"GRC","Greece","GTE_GDP","General government expenditures as a percentage of GDP","2017","2017",47.34,,
"GRC","Greece","GTE_GDP","General government expenditures as a percentage of GDP","2018","2018",46.74,,
"ISR","Israel","GTE_GDP","General government expenditures as a percentage of GDP","2007","2007",42.13,,
"ISR","Israel","GTE_GDP","General government expenditures as a percentage of GDP","2008","2008",42.83,,
"ISR","Israel","GTE_GDP","General government expenditures as a percentage of GDP","2009","2009",42.79,,
"ISR","Israel","GTE_GDP","General government expenditures as a percentage of GDP","2010","2010",41.1,,
"ISR","Israel","GTE_GDP","General government expenditures as a percentage of GDP","2011","2011",40.43,,
"ISR","Israel","GTE_GDP","General government expenditures as a percentage of GDP","2012","2012",41.04,,
"ISR","Israel","GTE_GDP","General government expenditures as a percentage of GDP","2013","2013",40.98,,
"ISR","Israel","GTE_GDP","General government expenditures as a percentage of GDP","2014","2014",39.59,,
"ISR","Israel","GTE_GDP","General government expenditures as a percentage of GDP","2015","2015",38.35,,
"ISR","Israel","GTE_GDP","General government expenditures as a percentage of GDP","2016","2016",38.59,,
"ISR","Israel","GTE_GDP","General government expenditures as a percentage of GDP","2017","2017",39.51,,
"ITA","Italy","GTR_GDP","General government revenues as a percentage of GDP","2007","2007",45.33,,
"ITA","Italy","GTR_GDP","General government revenues as a percentage of GDP","2008","2008",45.2,,
"ITA","Italy","GTR_GDP","General government revenues as a percentage of GDP","2009","2009",45.91,,
"ITA","Italy","GTR_GDP","General government revenues as a percentage of GDP","2010","2010",45.68,,
"ITA","Italy","GTR_GDP","General government revenues as a percentage of GDP","2011","2011",45.7,,
"ITA","Italy","GTR_GDP","General government revenues as a percentage of GDP","2012","2012",47.87,,
"ITA","Italy","GTR_GDP","General government revenues as a percentage of GDP","2013","2013",48.14,,
"ITA","Italy","GTR_GDP","General government revenues as a percentage of GDP","2014","2014",47.86,,
"ITA","Italy","GTR_GDP","General government revenues as a percentage of GDP","2015","2015",47.65,,
"ITA","Italy","GTR_GDP","General government revenues as a percentage of GDP","2016","2016",46.51,,
"ITA","Italy","GTR_GDP","General government revenues as a percentage of GDP","2017","2017",46.52,,
"ITA","Italy","GTR_GDP","General government revenues as a percentage of GDP","2018","2018",46.45,,
"AUS","Australia","GNLB_GDP","General government fiscal balance as a percentage of GDP","2007","2007",0.72,,
"AUS","Australia","GNLB_GDP","General government fiscal balance as a percentage of GDP","2008","2008",-3.75,,
"AUS","Australia","GNLB_GDP","General government fiscal balance as a percentage of GDP","2009","2009",-5.56,,
"AUS","Australia","GNLB_GDP","General government fiscal balance as a percentage of GDP","2010","2010",-4.46,,
"AUS","Australia","GNLB_GDP","General government fiscal balance as a percentage of GDP","2011","2011",-4.62,,
"AUS","Australia","GNLB_GDP","General government fiscal balance as a percentage of GDP","2012","2012",-2.89,,
"AUS","Australia","GNLB_GDP","General government fiscal balance as a percentage of GDP","2013","2013",-2.84,,
"AUS","Australia","GNLB_GDP","General government fiscal balance as a percentage of GDP","2014","2014",-2.33,,
"AUS","Australia","GNLB_GDP","General government fiscal balance as a percentage of GDP","2015","2015",-2.43,,
"AUS","Australia","GNLB_GDP","General government fiscal balance as a percentage of GDP","2016","2016",-1.84,,
"AUS","Australia","GNLB_GDP","General government fiscal balance as a percentage of GDP","2017","2017",-0.84,,
"POL","Poland","GTE_GDP","General government expenditures as a percentage of GDP","2007","2007",43.21,,
"POL","Poland","GTE_GDP","General government expenditures as a percentage of GDP","2008","2008",44.3,,
"POL","Poland","GTE_GDP","General government expenditures as a percentage of GDP","2009","2009",45.04,,
"POL","Poland","GTE_GDP","General government expenditures as a percentage of GDP","2010","2010",45.81,,
"POL","Poland","GTE_GDP","General government expenditures as a percentage of GDP","2011","2011",43.88,,
"POL","Poland","GTE_GDP","General government expenditures as a percentage of GDP","2012","2012",42.86,,
"POL","Poland","GTE_GDP","General government expenditures as a percentage of GDP","2013","2013",42.59,,
"POL","Poland","GTE_GDP","General government expenditures as a percentage of GDP","2014","2014",42.39,,
"POL","Poland","GTE_GDP","General government expenditures as a percentage of GDP","2015","2015",41.67,,
"POL","Poland","GTE_GDP","General government expenditures as a percentage of GDP","2016","2016",41.11,,
"POL","Poland","GTE_GDP","General government expenditures as a percentage of GDP","2017","2017",41.23,,
"POL","Poland","GTE_GDP","General government expenditures as a percentage of GDP","2018","2018",41.55,,
"JPN","Japan","GNLB_GDP","General government fiscal balance as a percentage of GDP","2007","2007",-2.76,,
"JPN","Japan","GNLB_GDP","General government fiscal balance as a percentage of GDP","2008","2008",-4.12,,
"JPN","Japan","GNLB_GDP","General government fiscal balance as a percentage of GDP","2009","2009",-9.78,,
"JPN","Japan","GNLB_GDP","General government fiscal balance as a percentage of GDP","2010","2010",-9.15,,
"JPN","Japan","GNLB_GDP","General government fiscal balance as a percentage of GDP","2011","2011",-9.09,,
"JPN","Japan","GNLB_GDP","General government fiscal balance as a percentage of GDP","2012","2012",-8.3,,
"JPN","Japan","GNLB_GDP","General government fiscal balance as a percentage of GDP","2013","2013",-7.64,,
"JPN","Japan","GNLB_GDP","General government fiscal balance as a percentage of GDP","2014","2014",-5.38,,
"JPN","Japan","GNLB_GDP","General government fiscal balance as a percentage of GDP","2015","2015",-3.56,,
"JPN","Japan","GNLB_GDP","General government fiscal balance as a percentage of GDP","2016","2016",-3.46,,
"JPN","Japan","GNLB_GDP","General government fiscal balance as a percentage of GDP","2017","2017",-2.96,,
"CHE","Switzerland","GTE_GDP","General government expenditures as a percentage of GDP","2007","2007",30.73,,
"CHE","Switzerland","GTE_GDP","General government expenditures as a percentage of GDP","2008","2008",31.28,,
"CHE","Switzerland","GTE_GDP","General government expenditures as a percentage of GDP","2009","2009",33.2,,
"CHE","Switzerland","GTE_GDP","General government expenditures as a percentage of GDP","2010","2010",32.98,,
"CHE","Switzerland","GTE_GDP","General government expenditures as a percentage of GDP","2011","2011",32.9,,
"CHE","Switzerland","GTE_GDP","General government expenditures as a percentage of GDP","2012","2012",33.23,,
"CHE","Switzerland","GTE_GDP","General government expenditures as a percentage of GDP","2013","2013",34.23,,
"CHE","Switzerland","GTE_GDP","General government expenditures as a percentage of GDP","2014","2014",33.77,,
"CHE","Switzerland","GTE_GDP","General government expenditures as a percentage of GDP","2015","2015",34.01,,
"CHE","Switzerland","GTE_GDP","General government expenditures as a percentage of GDP","2016","2016",34.23,,
"CHE","Switzerland","GTE_GDP","General government expenditures as a percentage of GDP","2017","2017",34.15,,
"BEL","Belgium","GNLB_GDP","General government fiscal balance as a percentage of GDP","2007","2007",0.07,,
"BEL","Belgium","GNLB_GDP","General government fiscal balance as a percentage of GDP","2008","2008",-1.1,,
"BEL","Belgium","GNLB_GDP","General government fiscal balance as a percentage of GDP","2009","2009",-5.38,,
"BEL","Belgium","GNLB_GDP","General government fiscal balance as a percentage of GDP","2010","2010",-4,,
"BEL","Belgium","GNLB_GDP","General government fiscal balance as a percentage of GDP","2011","2011",-4.19,,
"BEL","Belgium","GNLB_GDP","General government fiscal balance as a percentage of GDP","2012","2012",-4.23,,
"BEL","Belgium","GNLB_GDP","General government fiscal balance as a percentage of GDP","2013","2013",-3.13,,
"BEL","Belgium","GNLB_GDP","General government fiscal balance as a percentage of GDP","2014","2014",-3.1,,
"BEL","Belgium","GNLB_GDP","General government fiscal balance as a percentage of GDP","2015","2015",-2.39,,
"BEL","Belgium","GNLB_GDP","General government fiscal balance as a percentage of GDP","2016","2016",-2.41,,
"BEL","Belgium","GNLB_GDP","General government fiscal balance as a percentage of GDP","2017","2017",-0.83,,
"BEL","Belgium","GNLB_GDP","General government fiscal balance as a percentage of GDP","2018","2018",-0.69,,
"CHE","Switzerland","GNLB_GDP","General government fiscal balance as a percentage of GDP","2007","2007",1.61,,
"CHE","Switzerland","GNLB_GDP","General government fiscal balance as a percentage of GDP","2008","2008",1.93,,
"CHE","Switzerland","GNLB_GDP","General government fiscal balance as a percentage of GDP","2009","2009",0.5,,
"CHE","Switzerland","GNLB_GDP","General government fiscal balance as a percentage of GDP","2010","2010",0.36,,
"CHE","Switzerland","GNLB_GDP","General government fiscal balance as a percentage of GDP","2011","2011",0.74,,
"CHE","Switzerland","GNLB_GDP","General government fiscal balance as a percentage of GDP","2012","2012",0.38,,
"CHE","Switzerland","GNLB_GDP","General government fiscal balance as a percentage of GDP","2013","2013",-0.43,,
"CHE","Switzerland","GNLB_GDP","General government fiscal balance as a percentage of GDP","2014","2014",-0.21,,
"CHE","Switzerland","GNLB_GDP","General government fiscal balance as a percentage of GDP","2015","2015",0.64,,
"CHE","Switzerland","GNLB_GDP","General government fiscal balance as a percentage of GDP","2016","2016",0.37,,
"CHE","Switzerland","GNLB_GDP","General government fiscal balance as a percentage of GDP","2017","2017",1.28,,
"JPN","Japan","GTE_GDP","General government expenditures as a percentage of GDP","2007","2007",35,,
"JPN","Japan","GTE_GDP","General government expenditures as a percentage of GDP","2008","2008",36.07,,
"JPN","Japan","GTE_GDP","General government expenditures as a percentage of GDP","2009","2009",40.69,,
"JPN","Japan","GTE_GDP","General government expenditures as a percentage of GDP","2010","2010",39.74,,
"JPN","Japan","GTE_GDP","General government expenditures as a percentage of GDP","2011","2011",40.64,,
"JPN","Japan","GTE_GDP","General government expenditures as a percentage of GDP","2012","2012",40.61,,
"JPN","Japan","GTE_GDP","General government expenditures as a percentage of GDP","2013","2013",40.76,,
"JPN","Japan","GTE_GDP","General government expenditures as a percentage of GDP","2014","2014",40.2,,
